turn,wall_clock_s,system_tokens,domain_tokens,durable_tokens,ephemeral_tokens,total_context_tokens,cache_hit_tokens,cache_miss_tokens,cache_write_tokens,token_cost,attention_cost,projection_cost_tokens,evictions,faults,projected
1,69.1,3000,15000,0,173,18173,18173,0,173,2033.5500000000002,330257929.0,0,0,0,False
2,142.25,3000,15000,2049,160,20209,20209,0,2209,6991.15,408403681.0,2209,0,0,True
3,217.48000000000002,3000,15000,2049,318,20367,20367,0,158,2234.2,414814689.0,0,0,0,False
4,301.43,3000,15000,2368,249,20617,20617,0,2617,7949.950000000001,425060689.0,2617,0,0,True
5,390.84000000000003,3000,15000,2368,359,20727,20727,0,110,2210.2000000000003,429608529.0,0,0,0,False
6,476.90000000000003,3000,15000,2692,176,20868,20868,0,2868,8539.8,435473424.0,2868,0,0,True
7,572.94,3000,15000,2692,354,21046,21046,0,178,2327.1,442934116.0,0,0,0,False
8,688.6700000000001,3000,15000,8026,294,26320,26320,0,8320,21352.0,692742400.0,8320,0,0,True
9,795.95,3000,15000,6900,169,25069,25069,0,7069,18412.15,628454761.0,7069,0,0,True
10,921.2900000000001,3000,15000,9603,1145,28748,28748,0,10748,27057.8,826447504.0,10748,0,0,True
11,1046.98,3000,15000,10055,258,28313,28313,0,10313,26035.55,801625969.0,10313,0,0,True
12,1197.55,3000,15000,14090,703,32793,32793,0,14793,36563.55,1075380849.0,14793,0,0,True
13,1374.92,3000,15000,16448,5042,39490,39490,0,21490,52301.5,1559460100.0,21490,0,0,True
14,1566.8600000000001,3000,15000,17443,195,35638,35638,0,17638,43249.3,1270067044.0,17638,0,0,True
15,1770.3100000000002,3000,15000,17443,559,36002,36002,0,364,4055.2000000000003,1296144004.0,0,0,0,False
16,2026.7600000000002,3000,15000,15319,624,33943,33943,0,15943,39266.05,1152127249.0,15943,0,0,True
17,2185.88,3000,15000,12770,1160,31930,31930,0,13930,34535.5,1019524900.0,13930,0,0,True
18,2342.75,3000,15000,12037,691,30728,30728,0,12728,31710.8,944209984.0,12728,0,0,True
19,2491.23,3000,15000,10825,926,29751,29751,0,11751,29414.85,885122001.0,11751,0,0,True
20,2633.84,3000,15000,11011,517,29528,29528,0,11528,28890.8,871902784.0,11528,0,0,True
21,2879.7400000000002,3000,15000,12754,848,31602,31602,0,13602,33764.7,998686404.0,13602,0,0,True
22,3255.88,3000,15000,13787,2312,34099,34099,0,16099,39632.65,1162741801.0,16099,0,0,True
23,3429.32,3000,15000,14693,906,33599,33599,0,15599,38457.65,1128892801.0,15599,0,0,True
24,3585.46,3000,15000,11292,1050,30342,30342,0,12342,30803.7,920636964.0,12342,0,0,True
25,3723.48,3000,15000,9558,552,28110,28110,0,10110,25558.5,790172100.0,10110,0,0,True
26,3894.66,3000,15000,13555,151,31706,31706,0,13706,34009.1,1005270436.0,13706,0,0,True
27,4011.1499999999996,3000,15000,13555,1255,32810,32810,0,1104,4661.0,1076496100.0,0,0,0,False
28,4138.57,3000,15000,8501,554,27055,27055,0,9055,23079.25,731973025.0,9055,0,0,True
29,4265.99,3000,15000,8151,673,26824,26824,0,8824,22536.4,719526976.0,8824,0,0,True
30,4409.889999999999,3000,15000,10011,1087,29098,29098,0,11098,27880.3,846693604.0,11098,0,0,True
31,4574.74,3000,15000,12996,406,31402,31402,0,13402,33294.7,986085604.0,13402,0,0,True
32,4755.5199999999995,3000,15000,14271,280,32551,32551,0,14551,35994.85,1059567601.0,14551,0,0,True
33,4884.419999999999,3000,15000,8821,1066,27887,27887,0,9887,25034.45,777684769.0,9887,0,0,True
34,5024.669999999999,3000,15000,8821,2314,29135,29135,0,1248,4473.5,848848225.0,0,0,0,False
35,5139.599999999999,3000,15000,7468,683,26151,26151,0,8151,20954.85,683874801.0,8151,0,0,True
36,5247.349999999999,3000,15000,6558,300,24858,24858,0,6858,17916.3,617920164.0,6858,0,0,True
37,5352.86,3000,15000,5967,209,24176,24176,0,6176,16313.6,584478976.0,6176,0,0,True
38,5456.63,3000,15000,5988,200,24188,24188,0,6188,16341.8,585059344.0,6188,0,0,True
39,5563.4400000000005,3000,15000,6492,175,24667,24667,0,6667,17467.45,608460889.0,6667,0,0,True
40,5662.320000000001,3000,15000,4872,11783,34655,34655,0,16655,40939.25,1200969025.0,16655,0,0,True
41,5754.990000000001,3000,15000,4872,11897,34769,34769,0,114,3619.4,1208883361.0,0,0,0,False
42,5856.4800000000005,3000,15000,5631,156,23787,23787,0,5787,15399.45,565821369.0,5787,0,0,True
43,5969.740000000001,3000,15000,7582,303,25885,25885,0,7885,20329.75,670033225.0,7885,0,0,True
44,6106.870000000001,3000,15000,10465,959,29424,29424,0,11424,28646.4,865771776.0,11424,0,0,True
45,6241.890000000001,3000,15000,7650,3091,28741,28741,0,10741,27041.35,826045081.0,10741,0,0,True
46,6386.020000000001,3000,15000,7650,4583,30233,30233,0,1492,4888.3,914034289.0,0,0,0,False
47,6522.790000000001,3000,15000,10484,1604,30088,30088,0,12088,30206.8,905287744.0,12088,0,0,True
48,6645.990000000001,3000,15000,8965,165,27130,27130,0,9130,23255.5,736036900.0,9130,0,0,True
49,6788.02,3000,15000,10802,2037,30839,30839,0,12839,31971.65,951043921.0,12839,0,0,True
50,6928.34,3000,15000,10705,117,28822,28822,0,10822,27231.7,830707684.0,10822,0,0,True
51,7082.610000000001,3000,15000,10705,843,29548,29548,0,726,3862.3,873084304.0,0,0,0,False
52,7223.410000000001,3000,15000,10705,1697,30402,30402,0,854,4107.700000000001,924281604.0,0,0,0,False
53,7322.680000000001,3000,15000,10705,3238,31943,31826,117,1541,5225.85,1020355249.0,0,0,0,False
54,7447.050000000001,3000,15000,8384,4405,30789,30789,0,12789,31854.15,947962521.0,12789,0,0,True
55,7569.810000000001,3000,15000,8033,576,26609,26609,0,8609,22031.15,708038881.0,8609,0,0,True
56,7698.720000000001,3000,15000,9196,4469,31665,31665,0,13665,33912.75,1002672225.0,13665,0,0,True
57,7829.880000000001,3000,15000,9686,5190,32876,32876,0,14876,36758.6,1080831376.0,14876,0,0,True
58,7955.580000000001,3000,15000,8413,764,27177,27177,0,9177,23365.95,738589329.0,9177,0,0,True
59,8078.830000000001,3000,15000,7739,951,26690,26690,0,8690,22221.5,712356100.0,8690,0,0,True
60,8214.92,3000,15000,9344,493,27837,27837,0,9837,24916.95,774898569.0,9837,0,0,True
61,8356.11,3000,15000,10529,327,28856,28856,0,10856,27311.6,832668736.0,10856,0,0,True
62,8506.480000000001,3000,15000,11303,1449,30752,30752,0,12752,31767.2,945685504.0,12752,0,0,True
