cycle   1:  2936 tokens, 6 strands, 4 losses, ifn=True
cycle   2:  3458 tokens, 6 strands, 5 losses, ifn=True
cycle   3:  3877 tokens, 6 strands, 5 losses, ifn=True
cycle   4:  4387 tokens, 6 strands, 6 losses, ifn=True
cycle   5:  5681 tokens, 7 strands, 8 losses, ifn=True
cycle   6:  7035 tokens, 8 strands, 8 losses, ifn=True
cycle   7:  8619 tokens, 9 strands, 9 losses, ifn=True
cycle   8:  9259 tokens, 8 strands, 10 losses, ifn=True
cycle   9: 10787 tokens, 9 strands, 12 losses, ifn=True
cycle  10: 11852 tokens, 9 strands, 12 losses, ifn=True
cycle  11: 12382 tokens, 9 strands, 11 losses, ifn=True
cycle  12:  6352 tokens, 5 strands, 9 losses, ifn=True
cycle  13:  7223 tokens, 5 strands, 11 losses, ifn=True
cycle  14:  8356 tokens, 6 strands, 10 losses, ifn=True
cycle  15:  8023 tokens, 6 strands, 10 losses, ifn=True
cycle  16:  9123 tokens, 6 strands, 10 losses, ifn=True
cycle  17:  8943 tokens, 5 strands, 10 losses, ifn=True
cycle  18:  9478 tokens, 5 strands, 8 losses, ifn=True
cycle  19:  8373 tokens, 5 strands, 8 losses, ifn=True
cycle  20:  8322 tokens, 4 strands, 10 losses, ifn=True
cycle  21:  6651 tokens, 4 strands, 7 losses, ifn=True
cycle  22:  8455 tokens, 5 strands, 9 losses, ifn=True
cycle  23:    49 tokens, 0 strands, 0 losses, ifn=False
cycle  24:  1307 tokens, 3 strands, 4 losses, ifn=True
cycle  25:  2108 tokens, 4 strands, 5 losses, ifn=True
cycle  26:  3026 tokens, 4 strands, 6 losses, ifn=True
cycle  27:  3635 tokens, 4 strands, 7 losses, ifn=True
cycle  28:  3844 tokens, 4 strands, 8 losses, ifn=True
cycle  29:  3945 tokens, 4 strands, 9 losses, ifn=True
cycle  30:  4592 tokens, 4 strands, 10 losses, ifn=True
cycle  31:  5500 tokens, 4 strands, 12 losses, ifn=True
cycle  32:  6563 tokens, 4 strands, 15 losses, ifn=True
cycle  33:  7608 tokens, 4 strands, 15 losses, ifn=True
cycle  34:  6132 tokens, 4 strands, 0 losses, ifn=False
cycle  35:  6011 tokens, 4 strands, 0 losses, ifn=False
cycle  36:  6833 tokens, 4 strands, 5 losses, ifn=True
cycle  37:  5812 tokens, 4 strands, 5 losses, ifn=True
cycle  38:  6272 tokens, 5 strands, 0 losses, ifn=False
cycle  39:  6723 tokens, 5 strands, 4 losses, ifn=True
cycle  40:  5427 tokens, 5 strands, 0 losses, ifn=False
cycle  41:  6910 tokens, 5 strands, 4 losses, ifn=True
cycle  42:  8547 tokens, 5 strands, 6 losses, ifn=True
cycle  43:  2711 tokens, 0 strands, 7 losses, ifn=True
cycle  44:  6026 tokens, 5 strands, 7 losses, ifn=True
cycle  45:  8359 tokens, 7 strands, 8 losses, ifn=True
cycle  46:  9628 tokens, 8 strands, 8 losses, ifn=True
cycle  47:  3924 tokens, 0 strands, 8 losses, ifn=True
cycle  48:  9329 tokens, 8 strands, 8 losses, ifn=True
cycle  49:  7408 tokens, 6 strands, 8 losses, ifn=True
cycle  50:  5600 tokens, 7 strands, 0 losses, ifn=False
cycle  51:  5312 tokens, 7 strands, 4 losses, ifn=True
cycle  52:  3409 tokens, 6 strands, 0 losses, ifn=False
