cycle   1:   895 tokens, 2 strands, 2 losses, ifn=True
cycle   2:  1272 tokens, 2 strands, 4 losses, ifn=True
cycle   3:  2138 tokens, 3 strands, 4 losses, ifn=True
cycle   4:  2824 tokens, 4 strands, 5 losses, ifn=True
cycle   5:  3378 tokens, 5 strands, 5 losses, ifn=True
cycle   6:  4732 tokens, 6 strands, 6 losses, ifn=True
cycle   7:  2814 tokens, 5 strands, 0 losses, ifn=False
cycle   8:  4279 tokens, 5 strands, 5 losses, ifn=True
cycle   9:  4148 tokens, 5 strands, 5 losses, ifn=True
cycle  10:  4290 tokens, 5 strands, 5 losses, ifn=True
cycle  11:  4789 tokens, 5 strands, 5 losses, ifn=True
cycle  12:  3636 tokens, 5 strands, 0 losses, ifn=False
cycle  13:  4671 tokens, 5 strands, 4 losses, ifn=True
cycle  14:  4659 tokens, 5 strands, 5 losses, ifn=True
cycle  15:  6178 tokens, 5 strands, 6 losses, ifn=True
cycle  16:  8020 tokens, 6 strands, 6 losses, ifn=True
cycle  17:  8467 tokens, 6 strands, 5 losses, ifn=True
cycle  18:  8932 tokens, 6 strands, 5 losses, ifn=True
cycle  19:  9690 tokens, 6 strands, 5 losses, ifn=True
cycle  20:  8299 tokens, 6 strands, 5 losses, ifn=True
cycle  21:  8979 tokens, 6 strands, 5 losses, ifn=True
cycle  22: 10614 tokens, 9 strands, 5 losses, ifn=True
cycle  23:  9614 tokens, 8 strands, 5 losses, ifn=True
cycle  24:  9549 tokens, 7 strands, 5 losses, ifn=True
cycle  25:  6909 tokens, 6 strands, 4 losses, ifn=True
cycle  26:  5432 tokens, 7 strands, 0 losses, ifn=False
cycle  27: 10009 tokens, 8 strands, 4 losses, ifn=True
cycle  28: 11548 tokens, 9 strands, 4 losses, ifn=True
cycle  29: 14733 tokens, 9 strands, 5 losses, ifn=True
cycle  30: 11230 tokens, 9 strands, 6 losses, ifn=True
cycle  31:  9464 tokens, 9 strands, 5 losses, ifn=True
cycle  32: 10084 tokens, 5 strands, 7 losses, ifn=True
cycle  33:  6104 tokens, 5 strands, 8 losses, ifn=True
cycle  34:  5436 tokens, 7 strands, 0 losses, ifn=False
cycle  35:  6037 tokens, 7 strands, 8 losses, ifn=True
cycle  36:  6258 tokens, 8 strands, 12 losses, ifn=True
cycle  37:  5102 tokens, 7 strands, 0 losses, ifn=False
cycle  38:  5556 tokens, 6 strands, 8 losses, ifn=True
cycle  39:  6491 tokens, 6 strands, 10 losses, ifn=True
cycle  40:  5980 tokens, 6 strands, 0 losses, ifn=False
cycle  41:  6253 tokens, 5 strands, 7 losses, ifn=True
cycle  42:  7515 tokens, 5 strands, 8 losses, ifn=True
cycle  43:  9369 tokens, 6 strands, 6 losses, ifn=True
cycle  44:  4921 tokens, 5 strands, 0 losses, ifn=False
cycle  45:  5484 tokens, 5 strands, 0 losses, ifn=False
cycle  46:  8959 tokens, 6 strands, 5 losses, ifn=True
cycle  47:  8080 tokens, 6 strands, 0 losses, ifn=False
cycle  48:    49 tokens, 0 strands, 0 losses, ifn=False
cycle  49:  1313 tokens, 3 strands, 4 losses, ifn=True
cycle  50:  1714 tokens, 3 strands, 4 losses, ifn=True
cycle  51:  3143 tokens, 5 strands, 5 losses, ifn=True
cycle  52:  2247 tokens, 5 strands, 0 losses, ifn=False
cycle  53:  4049 tokens, 5 strands, 6 losses, ifn=True
cycle  54:  4663 tokens, 5 strands, 6 losses, ifn=True
cycle  55:  5213 tokens, 5 strands, 7 losses, ifn=True
cycle  56:  4222 tokens, 4 strands, 7 losses, ifn=True
cycle  57:  5235 tokens, 5 strands, 7 losses, ifn=True
cycle  58:  5138 tokens, 5 strands, 6 losses, ifn=True
cycle  59:  5130 tokens, 5 strands, 6 losses, ifn=True
cycle  60:  6890 tokens, 7 strands, 7 losses, ifn=True
cycle  61:  5372 tokens, 5 strands, 7 losses, ifn=True
cycle  62:  5555 tokens, 5 strands, 7 losses, ifn=True
cycle  63:  8053 tokens, 6 strands, 9 losses, ifn=True
cycle  64:  7551 tokens, 6 strands, 8 losses, ifn=True
cycle  65:  5475 tokens, 6 strands, 0 losses, ifn=False
cycle  66:  5488 tokens, 8 strands, 5 losses, ifn=True
cycle  67:  6395 tokens, 6 strands, 6 losses, ifn=True
cycle  68:  6608 tokens, 8 strands, 0 losses, ifn=False
cycle  69:  4821 tokens, 7 strands, 5 losses, ifn=True
cycle  70:  4867 tokens, 7 strands, 4 losses, ifn=True
cycle  71:  6307 tokens, 7 strands, 6 losses, ifn=True
cycle  72:  6084 tokens, 7 strands, 5 losses, ifn=True
cycle  73:  6352 tokens, 7 strands, 5 losses, ifn=True
cycle  74:  8195 tokens, 8 strands, 6 losses, ifn=True
cycle  75: 10498 tokens, 9 strands, 8 losses, ifn=True
cycle  76: 10344 tokens, 10 strands, 9 losses, ifn=True
cycle  77:  8504 tokens, 7 strands, 11 losses, ifn=True
cycle  78:  6565 tokens, 5 strands, 7 losses, ifn=True
cycle  79:  6696 tokens, 5 strands, 7 losses, ifn=True
cycle  80:  9333 tokens, 6 strands, 8 losses, ifn=True
cycle  81:  4065 tokens, 0 strands, 7 losses, ifn=True
cycle  82:  6532 tokens, 5 strands, 4 losses, ifn=True
cycle  83:  6517 tokens, 5 strands, 4 losses, ifn=True
cycle  84:  7479 tokens, 6 strands, 5 losses, ifn=True
